owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
charlesmccarthy,musicgen,https://replicate.com/charlesmccarthy/musicgen,MusicGen running on an a40 with 60 seconds max duration,1368,2024-06-18T20:03:18.556301Z,public,,,
magpai-app,cog-puppeteer,https://replicate.com/magpai-app/cog-puppeteer,,225,2023-12-19T06:58:10.136183Z,public,,,
ltejedor,cmf,https://replicate.com/ltejedor/cmf,"Stable Diffusion model fine-tuned on Color, Material, and Finish samples",198,2024-06-18T00:11:14.169644Z,public,,,
lucataco,mobius,https://replicate.com/lucataco/mobius,"Mobius, a diffusion model that pushes the boundaries of domain-agnostic debiasing and representation realignment",626,2024-06-17T19:18:29.475830Z,public,https://github.com/lucataco/cog-mobius,,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
turian,dover-video-quality-assessment,https://replicate.com/turian/dover-video-quality-assessment,"DOVER video quality assessment tool, assigning videos both aesthetic and technical quality scores",27,2024-06-15T09:46:28.136557Z,public,https://github.com/turian/DOVER-video-quality-assessment-replicate/,https://arxiv.org/pdf/2211.04894,https://raw.githubusercontent.com/VQAssessment/DOVER/master/LICENSE
dhanushreddy291,photo-background-generation,https://replicate.com/dhanushreddy291/photo-background-generation,Generate Product photography backgrounds using Stable Diffusion,566,2024-06-14T17:21:07.354556Z,public,https://github.com/dhanushreddy291/product-photo-generator-cog,,https://huggingface.co/yahoo-inc/photo-background-generation/blob/main/LICENSE
mareksagan,dreamgaussian,https://replicate.com/mareksagan/dreamgaussian,DreamGaussian: Generative Gaussian Splatting for Efficient 3D Content Creation. Hologram optimized,375,2024-01-27T23:49:12.965510Z,public,https://github.com/mareksagan/cog-dreamgaussian/,,
mtg,music-classifiers,https://replicate.com/mtg/music-classifiers,"Transfer learning models for music classification by genres, moods, and instrumentation",10852,2021-12-02T18:20:45.043395Z,public,https://github.com/MTG/essentia-replicate-demos,https://arxiv.org/abs/2003.07393,https://essentia.upf.edu/models.html
zsxkib,v-express,https://replicate.com/zsxkib/v-express,🫦 Realistic facial expression manipulation (lip-syncing) using audio or video,1106,2024-06-06T14:29:10.778978Z,public,https://github.com/zsxkib/V-Express,https://arxiv.org/abs/2406.02511,https://huggingface.co/datasets/choosealicense/licenses/raw/main/markdown/apache-2.0.md
douwantech,musepose,https://replicate.com/douwantech/musepose,MusePose: a Pose-Driven Image-to-Video Framework for Virtual Human Generation.,1002,2024-06-08T03:41:43.247213Z,public,https://github.com/douwantech/MusePose,,https://github.com/douwantech/MusePose/blob/main/LICENSE
ahmdyassr,mask-clothing,https://replicate.com/ahmdyassr/mask-clothing,"Super fast clothing (and face) segmentation and masking with erosion and dilation capability, made for https://outfit.fm",32591,2024-05-21T03:03:03.416135Z,public,,https://outfit.fm,
charlesmccarthy,pony-sdxl,https://replicate.com/charlesmccarthy/pony-sdxl,The best Pony-SDXL models! Current one is based on Pony Realism.,114077,2024-05-26T21:46:29.658029Z,public,,,
fofr,zavy-chroma-xl-v7,https://replicate.com/fofr/zavy-chroma-xl-v7,"ZavyChromaXL v7, a high contrast and colorful SDXL fine-tune",3658,2024-06-08T22:37:26.502785Z,public,,https://civitai.com/models/119229/zavychromaxl?modelVersionId=490254,https://github.com/Stability-AI/generative-models/blob/main/model_licenses/LICENSE-SDXL1.0
fofr,sdxl-ms-paint,https://replicate.com/fofr/sdxl-ms-paint,"Make MS Paint images, a lora trained by aimingfail",1241,2024-06-08T22:27:35.719827Z,public,,https://civitai.com/models/183354/sdxl-ms-paint-portraits,
aramintak,japanese-poster-prints,https://replicate.com/aramintak/japanese-poster-prints,A mid-century Japanese block print style,591,2024-06-08T21:21:15.580247Z,public,,https://huggingface.co/alvdansen/japanese-poster-prints,
aramintak,sketched-out-manga,https://replicate.com/aramintak/sketched-out-manga,A rough sketch style manga,185,2024-06-08T21:20:25.896810Z,public,,https://huggingface.co/alvdansen/sketchedoutmanga,
aramintak,lost-and-lonely-manga,https://replicate.com/aramintak/lost-and-lonely-manga,A manga style,102,2024-06-08T21:19:19.223026Z,public,,https://huggingface.co/alvdansen/lostandlonelymanga,
aramintak,painting-light,https://replicate.com/aramintak/painting-light,A watercolor style painting model that does impressionism well and lends itself to anime.,72,2024-06-08T21:17:21.291204Z,public,,https://huggingface.co/alvdansen/paintinglight,
aramintak,soft-pastel-anime,https://replicate.com/aramintak/soft-pastel-anime,Stylized sketch anime model that has a bit of a watercolor undertone to it,188,2024-06-08T21:16:09.189338Z,public,,https://huggingface.co/alvdansen/softpastelanime,
aramintak,gemini-anime,https://replicate.com/aramintak/gemini-anime,An anime style,58,2024-06-08T21:13:53.324447Z,public,,https://huggingface.co/alvdansen/geminianime,
aramintak,abstract-anime-painting,https://replicate.com/aramintak/abstract-anime-painting,"A style that creates a paint wash, great for anime.",109,2024-06-08T21:12:44.737113Z,public,,https://huggingface.co/alvdansen/abstractanimepainting,
